,Hand
2284,"['8♦', '9♥', '3♦', '10♦', '5♠']"
2285,"['8♥', '6♠', 'J♦', '5♦', '4♥']"
2286,"['10♠', '8♥', '5♣', 'A♣', '9♥']"
2287,"['9♠', '5♣', '5♦', 'Q♠', '6♠']"
2288,"['J♠', '10♦', '8♣', '3♥', 'A♦']"
2289,"['K♣', '9♣', 'A♣', 'K♥', 'A♦']"
2290,"['10♥', '2♦', 'J♦', 'Q♥', 'Q♣']"
2291,"['9♥', 'J♦', '2♠', 'J♥', 'J♣']"
2292,"['K♣', '8♣', '5♠', '2♦', 'K♦']"
2293,"['5♣', '9♠', '9♥', '8♠', '4♣']"
2294,"['10♣', '10♦', '9♦', 'Q♥', 'J♥']"
2295,"['2♥', '6♦', '4♠', 'A♦', '9♣']"
2296,"['7♣', '7♠', '9♥', '5♥', 'K♦']"
2297,"['Q♦', '2♣', 'Q♠', '3♥', 'K♥']"
2298,"['10♠', '6♥', 'J♠', 'A♥', '7♦']"
2299,"['7♦', '10♠', '9♥', 'J♦', '10♦']"
2300,"['8♣', '9♥', '6♣', '10♦', '4♣']"
2301,"['6♠', 'A♥', '3♣', 'A♣', '10♣']"
2302,"['6♦', '10♦', '8♦', 'K♥', '3♥']"
2303,"['6♣', 'Q♦', '2♦', '10♣', 'J♥']"
2304,"['9♦', 'A♦', '9♣', '2♠', '8♥']"
2305,"['K♠', '4♣', '5♠', '3♣', '10♣']"
2306,"['6♠', '5♦', 'K♥', '5♥', '5♣']"
2307,"['J♠', 'Q♣', '5♥', 'K♦', '8♠']"
2308,"['8♥', '8♦', '5♠', 'Q♣', '9♠']"
2309,"['3♦', '10♣', '5♥', 'Q♦', '8♥']"
2310,"['8♦', '6♠', '4♠', '5♠', 'A♦']"
2311,"['6♠', '3♥', 'A♣', '5♣', 'Q♥']"
2312,"['8♣', '8♥', '8♦', '2♠', '6♠']"
2313,"['4♣', '9♠', '6♠', '4♦', '6♥']"
2314,"['8♣', '3♦', '8♥', '4♥', '6♠']"
2315,"['5♣', 'A♥', '2♥', '7♣', '8♥']"
2316,"['9♦', 'Q♦', '6♣', '5♣', 'A♦']"
2317,"['5♥', 'Q♥', 'J♣', 'Q♠', 'K♠']"
2318,"['4♠', '9♣', '10♠', '8♣', 'J♣']"
2319,"['8♠', 'K♣', '9♣', '9♦', '5♣']"
2320,"['K♣', '8♥', '4♣', '9♥', '3♦']"
2321,"['2♥', 'Q♦', '9♠', 'K♣', 'K♥']"
2322,"['4♦', '8♣', 'K♥', '6♥', 'A♦']"
2323,"['A♦', '5♥', 'Q♠', '8♠', '10♥']"
2324,"['5♣', '3♥', '5♦', '4♥', '3♠']"
2325,"['4♦', 'Q♦', '2♣', '2♦', 'A♦']"
2326,"['7♠', 'K♦', '8♥', 'K♠', 'K♣']"
2327,"['5♠', '3♦', '6♦', '5♣', '3♣']"
2328,"['4♦', '4♣', '10♦', 'A♦', '8♣']"
2329,"['4♣', '9♠', '5♣', 'Q♠', '6♦']"
2330,"['9♥', 'K♣', '2♠', '3♠', '8♥']"
2331,"['10♥', '5♦', '10♦', 'Q♣', '7♠']"
2332,"['7♥', 'Q♥', '9♦', '3♦', 'Q♦']"
2333,"['A♦', '2♦', '10♠', '2♠', '9♦']"
2334,"['6♣', 'J♦', '8♥', 'K♠', '3♠']"
2335,"['Q♥', 'K♦', '4♦', 'Q♦', '5♦']"
2336,"['3♠', '5♣', 'A♦', 'Q♦', '10♠']"
2337,"['Q♦', 'J♥', '4♠', '3♠', '2♠']"
2338,"['J♥', 'A♦', '9♥', 'A♣', '3♠']"
2339,"['5♥', '9♣', '10♥', '8♥', '7♠']"
2340,"['J♦', '9♣', '7♠', '8♠', '9♦']"
2341,"['A♥', '4♥', 'K♥', 'K♣', '3♣']"
2342,"['9♣', '8♣', '5♣', '4♦', '5♠']"
2343,"['A♦', '10♠', 'Q♥', '5♣', '5♥']"
2344,"['9♣', '7♠', '6♠', '5♠', '10♠']"
2345,"['4♣', 'Q♠', 'K♣', '9♠', 'K♦']"
2346,"['2♠', 'J♠', '3♣', '3♠', '8♦']"
2347,"['K♥', '3♠', 'J♣', 'A♥', '9♥']"
2348,"['7♥', 'A♣', '8♦', '3♥', '10♥']"
2349,"['A♥', 'K♥', '4♣', 'J♠', '5♥']"
2350,"['4♣', '9♦', '2♥', '7♦', 'Q♥']"
2351,"['8♦', 'A♣', '5♣', '7♦', 'J♣']"
2352,"['6♥', '2♠', '9♠', 'J♠', 'Q♣']"
2353,"['7♦', '2♣', 'J♦', 'Q♣', '8♠']"
2354,"['10♥', 'J♦', '9♣', 'A♥', '10♠']"
2355,"['K♦', '9♠', '4♥', '2♥', '2♦']"
2356,"['Q♠', '2♦', 'K♠', 'A♦', '7♣']"
2357,"['10♥', 'J♣', 'A♦', 'K♥', '4♠']"
2358,"['2♠', '6♥', 'Q♣', 'Q♦', 'J♦']"
2359,"['4♦', 'J♠', '10♠', '5♠', '6♥']"
2360,"['K♦', '5♠', '4♣', '7♣', 'K♠']"
2361,"['3♠', '5♣', '10♠', '8♣', '5♠']"
2362,"['Q♥', '8♠', '3♦', '5♠', 'Q♠']"
2363,"['4♥', '8♠', 'A♦', '8♥', '9♠']"
2364,"['2♥', '3♠', '6♦', '10♠', 'A♦']"
2365,"['K♠', '7♠', '9♣', '7♦', 'A♣']"
2366,"['J♥', '10♠', 'A♦', '2♥', '5♣']"
2367,"['9♦', '8♥', '9♣', '8♣', '2♣']"
2368,"['2♣', '4♥', '9♣', '3♥', '7♣']"
2369,"['2♦', '10♦', '2♠', 'Q♦', '5♥']"
2370,"['3♠', '2♥', '7♥', 'J♦', '6♦']"
2371,"['9♠', 'A♦', '4♣', '2♠', '5♠']"
2372,"['2♥', '8♥', '9♦', 'J♣', '4♠']"
2373,"['6♦', '4♦', 'K♥', '6♥', '4♥']"
2374,"['2♦', '4♠', '9♠', '3♥', '2♠']"
2375,"['10♣', '10♥', '3♦', 'K♦', '7♥']"
2376,"['3♥', '4♦', '9♥', '5♣', '2♥']"
2377,"['K♦', '2♦', '4♥', '3♠', 'J♥']"
2378,"['5♣', '3♦', 'A♥', '3♥', '4♦']"
2379,"['J♦', '7♥', '6♥', '2♠', '6♣']"
2380,"['A♦', '5♣', '6♥', '6♠', '5♥']"
2381,"['9♣', 'Q♦', '3♣', '6♦', '4♠']"
2382,"['10♠', '8♣', '7♦', 'J♦', '8♠']"
2383,"['K♥', '10♦', '3♣', '3♠', '5♦']"
2384,"['8♠', 'J♦', '10♠', '7♦', 'Q♥']"
2385,"['10♠', '8♠', '5♠', '5♥', '9♦']"
2386,"['5♥', '3♣', '5♣', 'J♣', '5♦']"
2387,"['K♥', 'J♥', '9♥', '7♦', '5♥']"
2388,"['4♥', 'Q♠', '9♥', 'K♥', '2♠']"
2389,"['10♥', '6♥', '8♣', '8♦', 'K♦']"
2390,"['3♣', '9♣', '2♠', '4♦', '7♥']"
2391,"['K♣', '4♦', '8♣', '10♠', '4♠']"
2392,"['J♦', 'J♥', '6♠', '6♣', '6♦']"
2393,"['10♣', 'A♥', '7♠', '2♠', 'A♣']"
2394,"['8♥', '9♥', '8♦', '2♥', '2♠']"
2395,"['5♠', '2♦', '6♦', 'K♥', '4♦']"
2396,"['6♦', 'J♦', '5♥', 'K♠', '7♠']"
2397,"['6♠', 'A♦', '10♠', 'Q♦', '7♣']"
2398,"['4♠', '6♦', '10♠', '9♠', 'Q♥']"
2399,"['10♥', '2♥', 'A♣', 'Q♠', '6♣']"
2400,"['5♣', '10♣', '5♠', '5♥', '8♠']"
2401,"['9♠', '3♣', '5♦', '3♠', '7♠']"
2402,"['2♠', 'J♣', '4♣', '4♦', 'J♠']"
2403,"['3♠', 'Q♠', 'K♥', 'A♣', '7♥']"
2404,"['A♣', '5♠', '9♦', '10♥', '9♥']"
2405,"['7♣', 'Q♠', '2♣', '3♣', '2♥']"
2406,"['8♦', 'K♣', '3♣', '4♣', '7♠']"
2407,"['4♣', '6♣', 'A♣', '4♠', '5♣']"
2408,"['7♥', '10♠', 'A♣', '2♦', 'K♠']"
2409,"['Q♠', '8♥', '5♠', '8♦', 'K♠']"
2410,"['Q♣', '10♥', 'A♣', '5♠', 'K♦']"
2411,"['9♣', '3♥', 'Q♥', '9♦', '2♣']"
2412,"['3♠', 'K♦', 'K♣', '6♠', '3♦']"
2413,"['4♥', '3♠', 'K♦', '9♠', 'Q♦']"
2414,"['A♦', '5♠', 'K♦', 'A♥', '8♦']"
2415,"['K♥', '5♣', '7♣', '10♣', '6♣']"
2416,"['2♦', 'A♣', '2♣', '6♦', '7♥']"
2417,"['3♠', '6♣', 'A♣', 'J♠', 'Q♣']"
2418,"['6♥', 'J♣', '8♣', '9♦', '4♠']"
2419,"['8♦', '9♥', '5♠', '5♣', '6♥']"
2420,"['4♠', '6♣', '8♣', '10♠', '9♣']"
2421,"['9♠', '9♦', '7♦', 'K♠', 'J♣']"
2422,"['9♣', '8♠', 'J♦', '10♦', '9♦']"
2423,"['Q♥', '2♥', '9♥', '10♦', '7♣']"
2424,"['6♣', '7♠', '9♣', '7♦', 'K♣']"
2425,"['10♠', '6♠', '10♣', '7♠', '9♠']"
2426,"['7♥', 'K♠', 'K♣', '3♦', '2♥']"
2427,"['A♥', '6♦', '8♦', '4♣', '10♥']"
2428,"['7♦', '7♣', '6♣', '2♠', '4♦']"
2429,"['5♥', '3♠', '5♣', '7♦', '2♥']"
2430,"['2♥', 'A♦', '8♥', '9♥', '6♣']"
2431,"['3♥', 'Q♦', '9♠', '7♠', '2♠']"
2432,"['8♦', 'J♣', '6♣', '10♠', '3♣']"
2433,"['9♠', '3♥', 'A♥', '6♥', '4♥']"
2434,"['4♦', '8♥', '6♣', '10♦', '5♥']"
2435,"['7♠', '8♦', '2♦', 'Q♠', '4♣']"
2436,"['6♠', 'A♦', '2♣', '5♣', '3♠']"
2437,"['8♦', '10♦', '4♠', 'K♦', '7♥']"
2438,"['6♥', '4♦', 'Q♣', 'K♦', '4♣']"
2439,"['7♥', 'A♣', '4♠', '4♣', 'Q♣']"
2440,"['Q♠', 'J♠', '3♦', '6♣', '2♥']"
2441,"['K♦', '2♣', '3♦', 'A♥', '4♣']"
2442,"['10♥', '4♥', 'K♠', 'K♣', '7♠']"
2443,"['8♠', '6♣', '2♠', '6♥', '9♠']"
2444,"['10♣', '4♠', '10♥', 'K♠', 'Q♥']"
2445,"['8♥', '3♥', 'A♦', 'A♥', '8♠']"
2446,"['9♣', 'A♥', 'A♦', '2♣', 'Q♦']"
2447,"['2♦', '6♦', 'J♦', '2♠', '7♥']"
2448,"['K♠', '2♦', 'J♣', '8♠', 'K♥']"
2449,"['10♦', '4♣', '4♦', '3♠', 'Q♥']"
2450,"['8♠', '10♦', '6♦', '2♣', 'J♠']"
2451,"['9♥', '10♠', '10♣', 'J♠', '3♥']"
2452,"['Q♥', 'J♦', '9♣', '2♦', '6♦']"
2453,"['8♠', '8♦', '3♥', '9♠', '9♦']"
2454,"['7♥', '4♣', '5♥', '2♥', '9♣']"
2455,"['5♥', '2♦', 'A♣', '9♠', '2♠']"
2456,"['2♥', '4♦', '7♥', 'K♠', '8♣']"
2457,"['2♣', '10♥', '4♥', '3♥', '2♦']"
2458,"['4♠', '2♣', '6♥', '5♥', 'J♦']"
2459,"['Q♠', '4♦', '9♥', 'J♣', '7♦']"
2460,"['10♠', '5♥', 'J♦', 'Q♦', '2♦']"
2461,"['K♥', '8♣', 'J♠', '9♥', '8♥']"
2462,"['5♥', '2♠', '10♥', '3♦', 'K♣']"
2463,"['8♦', 'K♠', 'J♣', 'A♦', '10♠']"
2464,"['6♥', '7♣', '5♦', '4♦', 'K♦']"
2465,"['J♠', '6♠', '5♦', 'J♣', '10♠']"
2466,"['10♦', '4♣', '5♣', 'A♥', '10♠']"
2467,"['10♥', 'J♦', 'Q♥', 'Q♣', '6♥']"
2468,"['5♦', '5♥', '8♠', '8♣', '3♦']"
2469,"['8♥', '8♣', '3♥', '2♠', '4♣']"
2470,"['K♣', 'Q♣', '10♥', '8♠', '3♦']"
2471,"['4♣', '4♦', 'Q♠', '10♠', '4♥']"
2472,"['4♠', '4♦', '7♠', 'Q♣', '5♥']"
2473,"['4♠', 'K♣', '5♦', '3♥', 'Q♥']"
2474,"['J♥', '7♦', '6♦', '3♦', '5♥']"
2475,"['6♦', '7♣', 'K♠', 'J♦', '5♥']"
2476,"['K♠', 'K♥', '7♥', '3♥', 'Q♥']"
2477,"['5♦', '9♦', '2♠', 'J♦', 'J♠']"
2478,"['9♣', 'K♦', '8♦', 'A♦', '9♠']"
2479,"['4♦', 'A♣', '10♣', 'K♠', '10♦']"
2480,"['2♣', '4♠', '10♥', '7♠', 'Q♣']"
2481,"['9♣', '8♣', '7♣', '2♥', '6♦']"
2482,"['K♣', 'A♦', '10♣', '7♥', 'K♠']"
2483,"['6♠', 'Q♠', 'K♠', '4♣', '7♥']"
2484,"['2♠', 'Q♣', '7♦', '9♥', '10♥']"
2485,"['6♥', 'A♥', '10♠', '5♣', 'A♦']"
2486,"['10♠', 'Q♣', 'A♥', '7♦', 'K♣']"
2487,"['A♦', '4♣', '2♦', '5♥', 'Q♦']"
2488,"['3♠', '8♥', '2♦', '5♣', '7♦']"
2489,"['6♦', '8♠', '4♥', 'J♥', '9♦']"
2490,"['4♦', '8♦', '3♥', '5♠', 'J♠']"
2491,"['7♦', 'J♠', '2♦', '3♥', '4♣']"
2492,"['4♠', '7♠', '2♥', '10♣', '5♠']"
2493,"['3♣', 'A♣', '5♠', 'J♠', '3♦']"
2494,"['4♥', '7♠', 'K♦', '3♥', '7♥']"
2495,"['J♦', 'A♣', '3♥', '3♣', 'A♥']"
2496,"['7♠', '4♣', '7♣', '3♦', 'Q♣']"
2497,"['4♥', 'J♠', '9♣', '8♠', '3♠']"
2498,"['3♣', '2♠', 'K♣', '2♥', 'J♠']"
2499,"['2♥', '5♦', 'A♥', '2♠', '9♥']"
2500,"['Q♣', '9♣', '6♥', '3♣', 'J♠']"
2501,"['10♠', '6♥', '10♥', 'A♦', '9♦']"
2502,"['7♠', 'K♦', '2♦', '5♣', '9♥']"
2503,"['3♥', '6♠', '2♠', '5♠', '8♦']"
2504,"['K♠', '4♦', 'J♦', '10♥', '9♠']"
2505,"['A♥', '10♦', '6♠', '7♥', '5♠']"
2506,"['6♣', 'A♥', '4♥', 'J♣', '3♥']"
2507,"['9♦', 'J♦', '6♠', '6♦', '8♦']"
2508,"['6♦', 'J♦', '2♦', '6♣', '9♣']"
2509,"['J♥', 'J♣', '4♣', '9♦', '3♦']"
2510,"['J♠', '4♠', '7♦', 'A♥', 'A♣']"
2511,"['6♠', '4♣', 'Q♣', '8♣', 'K♠']"
2512,"['9♣', '2♥', '4♥', '10♠', 'A♦']"
2513,"['7♥', 'A♦', '2♠', '3♣', 'A♣']"
2514,"['Q♥', '3♠', '5♠', '9♥', '10♦']"
2515,"['K♠', 'J♣', '5♠', '3♦', '9♦']"
2516,"['5♥', 'K♠', '4♥', 'J♥', '2♣']"
2517,"['5♥', 'Q♦', 'Q♣', '6♣', 'A♦']"
2518,"['K♣', '2♦', '5♥', '6♠', 'K♦']"
2519,"['J♦', '2♣', 'Q♣', '6♥', 'Q♥']"
2520,"['5♠', '10♣', '2♦', '2♥', '5♣']"
2521,"['3♦', '9♣', 'A♥', '8♦', '4♠']"
2522,"['4♥', '10♠', 'K♣', '9♣', '3♥']"
2523,"['3♣', '5♦', 'Q♥', 'A♦', '10♣']"
2524,"['K♦', '3♥', 'J♥', '3♠', '6♣']"
2525,"['5♠', '8♠', 'K♠', 'J♠', '7♠']"
2526,"['5♦', '5♥', '3♠', 'A♥', '5♠']"
2527,"['2♦', '4♣', '4♥', '8♠', 'Q♥']"
2528,"['8♠', '3♥', '9♣', '5♣', '10♠']"
2529,"['2♣', 'A♥', '3♣', '8♦', '9♦']"
2530,"['7♣', '4♣', 'A♥', '7♠', '6♠']"
2531,"['J♥', '4♦', '4♥', '6♥', '8♦']"
2532,"['4♥', '4♣', '9♠', '3♥', '10♦']"
2533,"['3♦', '5♥', '4♣', '5♦', 'K♠']"
2534,"['4♦', '7♦', '8♥', '5♦', '3♦']"
2535,"['J♥', '3♠', '4♣', 'J♠', '3♦']"
2536,"['8♣', '3♣', '5♥', '3♠', '7♣']"
2537,"['6♦', 'Q♦', 'J♣', '5♥', '3♠']"
2538,"['K♠', '10♣', '3♠', '7♥', '2♠']"
2539,"['3♦', 'A♦', '7♠', '7♦', '8♦']"
2540,"['3♥', 'Q♣', 'Q♠', 'J♣', '6♦']"
2541,"['Q♣', '7♣', '4♣', '5♣', '7♥']"
2542,"['5♠', 'K♣', 'Q♠', '10♦', '3♠']"
2543,"['K♥', '2♠', '7♠', '8♠', '2♥']"
2544,"['5♦', 'J♠', '2♣', 'J♦', '4♦']"
2545,"['2♠', '8♦', '9♠', '2♣', '10♠']"
2546,"['8♥', 'J♥', '2♥', '6♥', '5♣']"
2547,"['10♠', '4♣', '5♦', 'J♦', '10♣']"
2548,"['7♣', 'J♣', 'K♥', '8♥', '5♦']"
2549,"['5♣', 'Q♦', '10♠', 'K♠', '6♣']"
2550,"['8♥', 'K♦', '7♠', '4♣', 'A♣']"
2551,"['8♣', '3♥', '4♠', '6♣', '8♥']"
2552,"['3♥', '2♠', '5♥', '7♣', '8♦']"
2553,"['10♦', '3♥', 'J♥', '3♦', '2♦']"
2554,"['Q♠', '7♣', 'A♥', 'Q♣', '3♦']"
2555,"['3♣', '9♥', 'K♦', '9♣', '8♠']"
2556,"['9♣', '7♥', '6♥', 'J♦', '10♥']"
2557,"['2♦', 'K♦', '6♠', '7♦', 'A♣']"
2558,"['A♣', 'K♦', 'Q♦', 'J♠', '3♦']"
2559,"['J♣', '9♣', '2♦', 'Q♦', '3♣']"
2560,"['7♥', '8♥', 'Q♦', '4♥', '4♦']"
2561,"['K♦', 'A♣', '3♥', '4♠', '8♦']"
2562,"['Q♣', '4♣', '7♦', 'J♥', 'Q♦']"
2563,"['8♠', '3♠', '6♦', '4♣', 'A♥']"
2564,"['A♣', '10♦', '6♣', '5♦', '8♣']"
2565,"['8♦', '4♥', 'K♣', 'A♥', 'J♦']"
2566,"['8♣', '4♥', 'A♣', '6♥', '3♠']"
2567,"['7♦', '7♥', '4♠', '8♣', '4♣']"
2568,"['9♦', '4♠', '8♠', 'J♥', '4♣']"
2569,"['Q♦', 'J♥', '5♣', 'K♠', 'K♣']"
2570,"['8♣', 'Q♣', 'Q♥', 'J♥', '2♦']"
2571,"['K♥', 'Q♣', '4♥', '3♥', 'Q♥']"
2572,"['A♥', '4♥', 'A♣', 'K♦', '9♦']"
2573,"['10♥', '4♠', '3♦', '10♣', '9♣']"
2574,"['Q♦', '4♣', 'A♥', '10♦', '6♠']"
2575,"['K♥', '10♦', 'K♦', '6♥', 'A♣']"
2576,"['J♠', '8♠', '4♦', 'K♣', 'A♥']"
2577,"['8♥', 'J♣', '10♠', 'A♦', '2♦']"
2578,"['6♠', '6♣', '3♣', '8♦', 'Q♣']"
2579,"['Q♣', '8♦', '2♣', '2♦', 'J♥']"
2580,"['A♦', '2♠', 'A♥', 'Q♦', 'J♥']"
2581,"['J♥', '8♦', '4♦', '2♣', '10♠']"
2582,"['6♦', 'K♦', '2♠', '2♦', 'K♥']"
2583,"['K♣', 'K♥', '6♣', '4♠', '4♣']"
2584,"['9♠', '4♦', 'A♥', '7♥', '5♣']"
2585,"['3♠', '6♦', '9♣', 'K♦', '4♠']"
2586,"['10♦', '4♠', 'J♥', '10♠', 'K♦']"
2587,"['10♦', 'J♦', 'A♦', '5♥', '8♦']"
2588,"['9♥', '10♦', 'J♠', 'K♦', '5♥']"
2589,"['8♠', '10♣', '3♠', 'Q♦', 'K♥']"
2590,"['A♦', '5♥', '4♠', '2♦', '5♣']"
2591,"['8♣', 'A♦', '6♦', '8♠', '6♣']"
2592,"['Q♠', '8♥', '8♦', '7♣', 'K♠']"
2593,"['6♣', 'A♣', '9♦', 'Q♦', '9♠']"
2594,"['10♠', '6♠', '8♦', 'A♥', '4♣']"
2595,"['4♠', '10♦', '7♦', '2♥', 'Q♣']"
2596,"['8♠', '2♦', 'Q♠', '10♣', 'K♦']"
2597,"['8♠', 'K♠', '4♦', '4♠', '3♣']"
2598,"['10♣', '8♣', 'A♥', '8♦', '9♦']"
2599,"['5♠', 'K♦', 'Q♣', '7♠', 'Q♦']"
2600,"['10♥', '5♣', 'K♦', '3♥', '3♦']"
2601,"['J♣', '10♦', '6♣', '6♥', '7♠']"
2602,"['10♣', '3♦', 'K♣', '7♦', 'K♦']"
2603,"['6♦', '2♣', '8♠', 'J♦', 'A♣']"
2604,"['2♦', 'K♣', 'J♠', '8♥', '4♥']"
2605,"['5♠', '10♥', '7♦', 'Q♥', '9♥']"
2606,"['A♦', '9♠', 'Q♠', '4♦', '8♣']"
2607,"['J♥', 'Q♣', 'K♠', '2♥', '10♦']"
2608,"['Q♦', '3♦', 'K♥', '6♠', '9♣']"
2609,"['9♠', '4♦', '8♣', 'J♠', '3♥']"
2610,"['9♥', '6♠', '4♠', 'A♣', '7♦']"
2611,"['10♥', '7♣', '10♠', 'A♦', '3♥']"
2612,"['8♥', '6♠', 'J♠', 'J♣', '3♦']"
2613,"['6♥', '4♠', 'K♠', 'J♠', '5♣']"
2614,"['8♦', '5♠', '7♥', '9♣', 'K♣']"
2615,"['6♣', '10♠', '5♥', '4♣', 'Q♠']"
2616,"['3♥', '8♣', '4♠', '3♦', '4♣']"
2617,"['4♠', '2♠', '2♥', '10♠', 'Q♦']"
2618,"['2♠', '3♦', 'J♣', '5♦', 'K♦']"
2619,"['5♦', 'K♠', 'Q♦', 'Q♣', 'K♣']"
2620,"['6♥', '2♦', '3♠', '2♠', '5♠']"
2621,"['8♥', 'A♥', '3♣', '5♠', '7♣']"
2622,"['2♥', '7♦', '5♣', 'J♣', '6♠']"
2623,"['5♥', 'K♠', '2♦', 'J♦', '3♥']"
2624,"['J♣', '2♣', '5♠', 'K♦', '2♠']"
2625,"['3♠', '4♥', '10♥', '5♦', '6♦']"
2626,"['2♥', '2♦', '3♦', '9♠', '7♦']"
2627,"['Q♣', '10♠', '2♥', '7♥', '3♥']"
2628,"['A♥', '7♣', 'A♣', 'J♦', 'Q♥']"
2629,"['3♦', '4♣', '3♠', '8♠', '6♦']"
2630,"['9♠', '4♥', '5♥', '8♣', 'K♣']"
2631,"['2♦', '2♥', '4♦', '7♣', 'K♠']"
2632,"['4♥', '4♦', 'J♣', '7♠', '7♦']"
2633,"['3♠', 'Q♥', '9♦', 'K♦', 'Q♠']"
2634,"['2♣', '10♠', '3♦', 'J♠', '10♥']"
2635,"['A♦', '2♣', '9♠', '8♦', '7♠']"
2636,"['J♣', '4♥', '6♠', 'A♣', '6♥']"
2637,"['8♥', 'J♦', '4♦', '4♠', 'Q♦']"
2638,"['2♠', '2♦', 'A♥', '10♥', '2♥']"
2639,"['3♠', '9♥', '3♣', '8♣', '8♦']"
2640,"['9♠', '5♣', '4♣', 'K♣', '9♦']"
2641,"['10♦', '2♦', '2♠', '4♦', '6♣']"
2642,"['J♥', '3♥', '2♣', '4♥', '2♥']"
2643,"['8♦', '3♥', 'J♠', '6♣', '9♦']"
2644,"['A♥', '10♠', '10♦', 'J♣', 'J♥']"
2645,"['10♠', 'A♣', 'K♠', '2♣', 'Q♥']"
2646,"['A♦', 'Q♣', '2♠', '10♥', '7♣']"
2647,"['2♥', '2♠', 'Q♦', '6♠', '9♥']"
2648,"['J♦', '2♥', 'J♥', '9♠', '10♣']"
2649,"['4♠', '3♥', '5♣', '2♠', '5♦']"
2650,"['10♠', '6♣', '2♥', '8♦', '9♦']"
2651,"['Q♦', '2♦', '3♦', 'K♠', 'K♥']"
2652,"['A♦', '9♠', '8♠', '6♦', '2♣']"
2653,"['7♠', 'Q♠', 'J♥', 'Q♥', '10♠']"
2654,"['5♥', '4♦', '4♠', '10♦', '6♣']"
2655,"['J♥', '8♣', 'A♦', '4♦', 'A♣']"
2656,"['6♥', '6♣', '9♥', '3♥', 'A♥']"
2657,"['9♣', 'K♠', '10♦', 'Q♦', '7♥']"
2658,"['7♠', 'J♥', '3♠', '2♠', '8♥']"
2659,"['K♣', '8♥', '9♦', '10♦', 'Q♥']"
2660,"['Q♥', '2♣', '8♥', 'Q♦', '7♠']"
2661,"['6♥', 'K♣', '4♦', 'J♦', 'K♦']"
2662,"['7♠', '4♣', '2♣', '4♦', '9♣']"
2663,"['10♠', 'J♠', '8♦', '8♠', 'Q♥']"
2664,"['J♦', '6♦', '9♠', 'K♦', '3♦']"
2665,"['7♥', 'J♠', '8♣', '3♠', '4♠']"
2666,"['J♥', '3♥', '2♦', '5♦', '10♥']"
2667,"['6♥', '4♣', '8♠', '8♣', '5♠']"
2668,"['A♥', 'K♦', '2♠', 'A♦', '4♥']"
2669,"['9♥', 'K♦', 'Q♥', '6♥', '2♠']"
2670,"['K♥', '4♠', 'J♠', '8♠', 'J♥']"
2671,"['K♠', '10♠', '7♦', '2♦', '10♣']"
2672,"['K♥', '9♠', '8♣', '4♣', '6♠']"
2673,"['J♣', '3♠', '9♦', 'Q♠', '5♦']"
2674,"['8♠', '4♠', 'A♣', '9♥', '2♥']"
2675,"['2♥', '8♦', 'J♠', '6♠', '2♦']"
2676,"['Q♠', '9♦', '7♣', 'K♦', '7♠']"
2677,"['8♠', '7♠', 'K♠', '8♣', 'Q♦']"
2678,"['2♦', 'J♣', '3♠', '9♣', '2♣']"
2679,"['9♥', '3♠', '10♠', '7♣', 'K♠']"
2680,"['8♣', '4♦', '7♦', '6♦', '2♥']"
2681,"['3♠', '8♣', 'Q♠', '3♦', '2♠']"
2682,"['Q♠', '8♠', 'K♣', '3♠', '5♠']"
2683,"['4♣', '3♥', '7♠', 'K♠', '6♦']"
2684,"['A♦', '10♠', '4♠', 'J♣', '8♠']"
2685,"['5♣', '7♥', '5♦', 'K♦', '5♠']"
2686,"['J♥', '5♠', 'J♠', '5♦', 'K♠']"
2687,"['K♣', '3♥', '7♥', 'Q♥', '2♥']"
2688,"['2♥', 'J♥', '10♦', '3♠', '8♥']"
2689,"['Q♥', 'Q♦', 'Q♠', '2♦', '7♣']"
2690,"['6♥', '10♣', '5♠', '7♠', 'A♦']"
2691,"['K♠', 'A♣', '2♠', '7♠', '10♣']"
2692,"['J♥', '6♣', 'Q♣', '2♠', '3♥']"
2693,"['J♠', '10♦', '7♣', '3♦', '7♠']"
2694,"['9♣', 'K♠', '9♥', 'A♥', '6♦']"
2695,"['6♦', '6♣', '6♠', 'K♠', '8♠']"
2696,"['5♥', 'Q♣', '9♣', '5♦', 'J♦']"
2697,"['6♣', '8♠', '10♣', '10♥', '6♠']"
2698,"['A♣', '9♣', '10♠', 'K♦', '5♣']"
2699,"['8♣', 'Q♠', '9♥', 'K♥', '3♦']"
2700,"['7♥', '3♠', '6♦', '8♥', 'J♦']"
2701,"['K♦', 'J♦', '2♥', 'J♥', 'Q♥']"
2702,"['Q♠', '3♣', 'J♥', '10♥', '8♠']"
2703,"['5♠', 'Q♣', 'K♠', 'K♥', 'J♣']"
2704,"['9♠', '3♣', 'J♦', '2♦', '4♠']"
2705,"['4♠', '8♥', '3♠', '5♣', '5♦']"
2706,"['9♣', '10♣', '7♠', '8♦', 'Q♥']"
2707,"['K♦', 'Q♣', '3♣', '8♦', '4♥']"
2708,"['7♣', '6♣', 'K♣', '9♦', '5♣']"
2709,"['K♥', '6♥', '8♦', 'K♠', '9♣']"
2710,"['2♠', 'K♥', 'Q♦', 'A♦', '7♠']"
2711,"['A♣', '5♠', '4♦', 'K♦', '3♦']"
2712,"['4♠', 'K♥', '4♥', 'K♠', '9♦']"
